name,brand,location,year,vehicle_age,kilometers_driven,fuel_type,transmission,owner_type,mileage_kmpl,engine_cc,power_bhp,seats,price
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Hyderabad,2012,8,202082.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,12.3
Ford Ikon 1.3 LXi NXt,Ford,Chennai,2004,16,129000.0,Petrol,Manual,Third,13.8,1299.0,70.0,5.0,1.5
Volkswagen Polo 1.5 TDI Highline,Volkswagen,Coimbatore,2018,2,33558.0,Diesel,Manual,First,20.14,1498.0,88.0,5.0,8.12
Mahindra Bolero VLX CRDe,Mahindra,Coimbatore,2012,8,60271.0,Diesel,Manual,First,13.6,2523.0,63.0,7.0,6.12
Honda City i DTEC VX Option,Honda,Coimbatore,2017,3,45366.0,Diesel,Manual,First,25.1,1498.0,98.6,5.0,10.88
Chevrolet Sail Hatchback 1.2 LS,Chevrolet,Kolkata,2014,6,9500.0,Petrol,Manual,First,18.2,1199.0,82.5,5.0,3.5
Hyundai i20 1.2 Spotz,Hyundai,Kochi,2016,4,42362.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.15
BMW X1 sDrive 20d Sportline,BMW,Chennai,2016,4,21000.0,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,33.0
BMW X1 sDrive 20d Exclusive,BMW,Mumbai,2012,8,15200.0,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,13.5
Toyota Fortuner 4x2 AT,Toyota,Mumbai,2015,5,43690.0,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,17.11
Audi Q7 4.2 TDI Quattro Technology,Audi,Kochi,2014,6,79926.0,Diesel,Automatic,First,11.33,4134.0,335.2,7.0,29.77
Maruti Ertiga VDI,Maruti,Kolkata,2013,7,53073.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.95
Hyundai i20 1.2 Magna,Hyundai,Bangalore,2015,5,59000.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,5.75
Mercedes-Benz S Class 2005 2013 S 350 L,Mercedes-Benz,Bangalore,2006,14,47088.0,Petrol,Automatic,Second,10.13,3498.0,364.9,5.0,19.0
Renault Duster 85PS Diesel RxL,Renault,Ahmedabad,2014,6,55000.0,Diesel,Manual,First,20.45,1461.0,83.8,5.0,4.75
Mahindra Quanto C2,Mahindra,Hyderabad,2013,7,80430.0,Diesel,Manual,Second,17.21,1493.0,100.0,7.0,3.3
Toyota Fortuner 4x2 AT,Toyota,Delhi,2013,7,71932.0,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Mumbai,2014,6,19000.0,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,44.0
Maruti Swift Dzire VDi,Maruti,Hyderabad,2011,9,81759.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.39
Maruti Swift LDI Optional,Maruti,Kochi,2018,2,52010.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.2
Audi A6 2011-2015 35 TFSI Technology,Audi,Kochi,2016,4,58953.0,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,24.22
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mitsubishi,Mumbai,2008,12,93000.0,Diesel,Manual,Third,10.5,2835.0,107.2,6.0,5.45
Jaguar XF 2.2 Litre Executive,Jaguar,Delhi,2016,4,10000.0,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,44.0
Toyota Innova Crysta 2.8 ZX AT,Toyota,Coimbatore,2019,1,40674.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,24.82
Skoda Octavia Ambition 2.0 TDI AT,Skoda,Mumbai,2015,5,50000.0,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,11.69
Toyota Corolla Altis VL AT,Toyota,Bangalore,2018,2,1331.0,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,20.0
Maruti Omni 8 Seater BSII,Maruti,Pune,2010,10,60000.0,Petrol,Manual,First,19.7,796.0,35.0,8.0,1.45
Mercedes-Benz GLC 220d 4MATIC Style,Mercedes-Benz,Mumbai,2018,2,10003.0,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,48.5
Volkswagen Vento 1.5 TDI Highline AT,Volkswagen,Mumbai,2016,4,25000.0,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9.45
Mahindra XUV500 W10 2WD,Mahindra,Ahmedabad,2015,5,73000.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.5
Nissan Terrano XL 85 PS,Nissan,Hyderabad,2014,6,59962.0,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.9
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Jaipur,2012,8,72000.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.8
BMW 5 Series 2013-2017 530d M Sport,BMW,Coimbatore,2016,4,20967.0,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,44.56
Mahindra Scorpio S4 Plus,Mahindra,Bangalore,2015,5,35000.0,Diesel,Manual,Second,15.4,2179.0,120.0,7.0,8.5
Hyundai Verna 1.6 CRDi SX,Hyundai,Coimbatore,2017,3,38056.0,Diesel,Manual,First,23.9,1582.0,126.2,5.0,10.7
Audi Q7 3.0 TDI Quattro Premium Plus,Audi,Pune,2009,11,94000.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,12.0
Chevrolet Aveo U-VA 1.2 LT,Chevrolet,Coimbatore,2010,10,64236.0,Petrol,Manual,First,14.7,1150.0,76.0,5.0,2.44
Mahindra Bolero ZLX BSIII,Mahindra,Kolkata,2000,20,124000.0,Diesel,Manual,First,13.6,2523.0,63.0,7.0,1.95
Hyundai Xcent 1.2 Kappa S,Hyundai,Mumbai,2014,6,7400.0,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.35
Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Hyderabad,2017,3,52000.0,Diesel,Manual,First,13.68,2393.0,147.8,8.0,17.5
Hyundai EON Era Plus,Hyundai,Hyderabad,2015,5,68764.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.9
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Delhi,2013,7,64000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.9
Maruti Vitara Brezza ZDi,Maruti,Pune,2016,4,21558.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.9
BMW 3 Series 320d Prestige,BMW,Mumbai,2013,7,37500.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,16.75
Hyundai EON Sportz,Hyundai,Coimbatore,2016,4,14077.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.95
Honda City 1.5 S MT,Honda,Mumbai,2009,11,70000.0,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.1
Honda Accord 2.4 MT,Honda,Kochi,2011,9,54316.0,Petrol,Manual,Second,12.8,2354.0,177.6,5.0,4.29
Mahindra Xylo E8,Mahindra,Hyderabad,2009,11,90764.0,Diesel,Manual,First,14.0,2498.0,112.0,8.0,3.85
BMW 3 Series 320d,BMW,Chennai,2009,11,137000.0,Diesel,Automatic,Second,13.2,1995.0,170.0,5.0,9.0
Honda City V MT,Honda,Pune,2013,7,127000.0,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,4.5
Mahindra XUV500 W10 2WD,Mahindra,Kochi,2016,4,51884.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.46
Hyundai i20 Asta 1.4 CRDi,Hyundai,Delhi,2014,6,67407.0,Diesel,Manual,First,21.27,1396.0,88.76,5.0,4.65
Toyota Fortuner 4x2 Manual,Toyota,Hyderabad,2014,6,107825.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,20.5
Mahindra Bolero DI BSII,Mahindra,Chennai,2006,14,82453.0,Diesel,Manual,First,13.6,2523.0,63.0,8.0,2.9
Maruti Esteem Vxi - BSIII,Maruti,Chennai,2007,13,30441.0,Petrol,Manual,First,15.9,1298.0,85.0,5.0,1.45
Hyundai Santro LS zipPlus,Hyundai,Chennai,2002,18,70000.0,Petrol,Manual,Third,,1086.0,,5.0,0.65
Mini Cooper 5 DOOR D,Mini,Mumbai,2016,4,11000.0,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,29.5
Audi Q3 35 TDI Quattro Premium,Audi,Hyderabad,2015,5,61000.0,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,25.0
Hyundai i20 Sportz Option,Hyundai,Delhi,2013,7,48454.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.5
Tata Safari Storme VX Varicor 400,Tata,Jaipur,2017,3,37000.0,Diesel,Manual,First,14.1,2179.0,154.0,7.0,11.25
Honda BR-V i-DTEC VX MT,Honda,Kochi,2017,3,32249.0,Diesel,Manual,First,21.9,1498.0,98.6,7.0,10.79
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Volkswagen,Kolkata,2013,7,58000.0,Diesel,Manual,First,19.33,1968.0,138.03,5.0,5.9
Hyundai Xcent 1.2 Kappa S Option,Hyundai,Jaipur,2017,3,28360.0,Petrol,Manual,First,19.1,1197.0,81.86,5.0,5.12
Maruti Ignis 1.2 Alpha,Maruti,Mumbai,2017,3,7000.0,Petrol,Manual,First,20.89,1197.0,81.8,5.0,5.7
BMW 5 Series 2013-2017 520d Luxury Line,BMW,Coimbatore,2016,4,19658.0,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,35.84
Ford Ikon 1.3 CLXi,Ford,Hyderabad,2007,13,92000.0,Petrol,Manual,First,13.8,1299.0,70.0,5.0,1.25
Hyundai i10 Sportz,Hyundai,Kolkata,2013,7,25000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.65
Hyundai Verna 1.6 CRDI,Hyundai,Coimbatore,2016,4,37882.0,Diesel,Manual,First,22.32,1582.0,126.3,5.0,9.19
BMW 3 Series 320d Highline,BMW,Bangalore,2014,6,69330.0,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,23.5
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Mercedes-Benz,Delhi,2011,9,61000.0,Petrol,Automatic,First,12.3,1796.0,185.0,5.0,12.5
Chevrolet Beat Option Pack,Chevrolet,Kolkata,2010,10,35000.0,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,1.5
Hyundai Santro Xing XP,Hyundai,Jaipur,2004,16,200000.0,Petrol,Manual,First,,1086.0,,5.0,0.8
Tata Indica DLS,Tata,Jaipur,2009,11,82000.0,Diesel,Manual,Second,13.5,1405.0,,5.0,0.75
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2012,8,72450.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
Maruti Ciaz ZDi Plus SHVS,Maruti,Jaipur,2017,3,36381.0,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9.75
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Mercedes-Benz,Coimbatore,2017,3,25559.0,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,37.93
Honda City ZX CVT,Honda,Chennai,2005,15,100000.0,Petrol,Automatic,Third,16.4,1497.0,78.0,5.0,1.96
Toyota Fortuner 4x2 4 Speed AT,Toyota,Jaipur,2015,5,94000.0,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,20.5
Maruti Alto K10 VXI,Maruti,Bangalore,2011,9,64357.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.75
Jaguar XJ 2.0L Portfolio,Jaguar,Mumbai,2017,3,10501.0,Petrol,Automatic,First,9.43,1999.0,237.4,5.0,75.0
Hyundai i20 1.4 Magna ABS,Hyundai,Chennai,2009,11,47000.0,Diesel,Manual,First,21.9,1396.0,90.0,5.0,2.8
Honda BRV i-VTEC V CVT,Honda,Mumbai,2017,3,18000.0,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,9.25
Toyota Corolla Executive (HE),Toyota,Chennai,2007,13,89000.0,Petrol,Manual,First,13.4,1794.0,125.0,5.0,3.0
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Coimbatore,2014,6,49964.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,23.89
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Toyota,Mumbai,2014,6,35000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.75
Hyundai Grand i10 CRDi Sportz,Hyundai,Jaipur,2014,6,64000.0,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.15
Volkswagen Vento IPL II Petrol Highline AT,Volkswagen,Mumbai,2013,7,36000.0,Petrol,Automatic,First,14.8,1598.0,105.0,5.0,4.65
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Toyota,Delhi,2012,8,78600.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,8.9
Hyundai Verna CRDi SX,Hyundai,Jaipur,2008,12,170000.0,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,1.5
Maruti Ritz VDi,Maruti,Pune,2015,5,65000.0,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,3.27
Audi Q7 3.0 TDI Quattro Technology,Audi,Pune,2008,12,120300.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,18.0
Hyundai i20 Asta Option 1.2,Hyundai,Pune,2016,4,21000.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.3
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Coimbatore,2017,3,18108.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.31
Honda City i VTEC S,Honda,Pune,2014,6,58407.0,Petrol,Manual,First,17.4,1497.0,117.3,5.0,6.16
Maruti Ciaz ZXi,Maruti,Pune,2014,6,49500.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.0
Nissan Sunny XV CVT,Nissan,Kochi,2013,7,37199.0,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,5.43
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,2012,8,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.65
Maruti Ertiga ZDI,Maruti,Hyderabad,2015,5,59000.0,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.5
Maruti Swift Dzire VDI,Maruti,Jaipur,2015,5,60000.0,Diesel,Manual,First,26.59,1248.0,74.0,5.0,6.25
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mercedes-Benz,Bangalore,2007,13,39037.0,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,9.25
Honda Brio S MT,Honda,Mumbai,2013,7,17003.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.15
Hyundai i10 Magna Optional 1.1L,Hyundai,Hyderabad,2008,12,80400.0,Petrol,Manual,First,16.0,1086.0,66.7,5.0,2.3
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Jaipur,2012,8,75200.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25
Maruti Ciaz VDI SHVS,Maruti,Kochi,2017,3,41217.0,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.4
Ford Ikon 1.3 Flair,Ford,Pune,2006,14,98293.0,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,1.55
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Pune,2017,3,54000.0,Petrol,Manual,Second,16.2,1199.0,74.0,5.0,6.0
Honda Jazz 1.2 V i VTEC,Honda,Chennai,2016,4,17377.0,Petrol,Manual,First,18.7,1199.0,88.7,5.0,5.9
Honda Amaze EX i-Dtech,Honda,Bangalore,2013,7,33800.0,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4.7
Hyundai i20 Asta 1.4 CRDi,Hyundai,Hyderabad,2015,5,86157.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.5
Maruti Ritz VDi,Maruti,Hyderabad,2012,8,146824.0,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.55
Honda City V MT,Honda,Chennai,2014,6,55000.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,7.1
Skoda Superb 1.8 TSI MT,Skoda,Hyderabad,2010,10,53293.0,Petrol,Manual,First,13.14,1798.0,160.0,5.0,6.0
Maruti Vitara Brezza LDi Option,Maruti,Pune,2017,3,38000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.99
Hyundai i20 Asta,Hyundai,Bangalore,2009,11,64000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,4.1
Maruti Alto K10 VXI AGS,Maruti,Hyderabad,2017,3,25058.0,Petrol,Automatic,First,24.07,998.0,67.1,5.0,3.95
Hyundai EON Era Plus,Hyundai,Kochi,2016,4,36700.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.38
Hyundai i10 Sportz,Hyundai,Mumbai,2011,9,35000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
Mercedes-Benz SLK-Class SLK 350,Mercedes-Benz,Coimbatore,2016,4,22732.0,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.54
Audi A6 2.0 TDI Design Edition,Audi,Hyderabad,2014,6,48000.0,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,29.0
Ford EcoSport 1.5 TDCi Titanium,Ford,Bangalore,2013,7,62084.0,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.6
Volkswagen Passat Highline DSG,Volkswagen,Kolkata,2012,8,39273.0,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,6.99
Toyota Innova Crysta 2.4 ZX MT,Toyota,Bangalore,2017,3,64798.0,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.75
Ford Figo Diesel ZXI,Ford,Jaipur,2010,10,100002.0,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,1.28
Chevrolet Aveo 1.4,Chevrolet,Pune,2006,14,78000.0,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,1.2
Maruti Ritz LXi,Maruti,Coimbatore,2013,7,57717.0,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.31
Land Rover Freelander 2 SE,Land,Chennai,2011,9,109000.0,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,16.5
Hyundai Grand i10 Asta,Hyundai,Coimbatore,2017,3,74515.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.64
Ford Endeavour 3.2 Trend AT 4X4,Ford,Coimbatore,2017,3,50484.0,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,31.12
Audi Q5 2008-2012 2.0 TDI,Audi,Kochi,2013,7,13452.0,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,25.46
Hyundai Verna 1.6 VTVT,Hyundai,Kochi,2017,3,37688.0,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.88
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mercedes-Benz,Chennai,2017,3,34000.0,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,36.0
Mercedes-Benz M-Class ML 350 4Matic,Mercedes-Benz,Pune,2014,6,120000.0,Diesel,Automatic,First,,2987.0,165.0,5.0,30.0
Maruti Swift Dzire ZXi,Maruti,Pune,2008,12,64000.0,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,2.85
Honda City 1.3 EXI S,Honda,Delhi,2011,9,100000.0,Petrol,Manual,First,13.0,1343.0,90.0,5.0,3.5
Renault Duster 85PS Diesel RxL Optional,Renault,Jaipur,2014,6,75000.0,Diesel,Manual,First,20.46,1461.0,83.8,5.0,7.5
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,Hyderabad,2012,8,86000.0,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,19.0
BMW X5 xDrive 30d Design Pure Experience 5 Seater,BMW,Hyderabad,2015,5,69000.0,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,54.0
Hyundai Xcent 1.2 Kappa SX Option,Hyundai,Kochi,2015,5,41721.0,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.7
Maruti Dzire AMT ZXI Plus,Maruti,Hyderabad,2017,3,13000.0,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,8.5
BMW 3 Series 320d Corporate Edition,BMW,Kolkata,2013,7,38998.0,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,17.0
Maruti Alto 800 LXI,Maruti,Kochi,2017,3,54250.0,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.51
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Bangalore,2013,7,45979.0,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,19.5
Mini Cooper S,Mini,Pune,2012,8,37000.0,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,17.0
Audi Q7 3.0 TDI Quattro Premium Plus,Audi,Coimbatore,2015,5,46983.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,43.35
Chevrolet Beat Diesel LT,Chevrolet,Bangalore,2012,8,40700.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65
Maruti Wagon R LXI BS IV,Maruti,Kochi,2015,5,43828.0,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.52
Nissan Terrano XV Premium 110 PS,Nissan,Kolkata,2016,4,53000.0,Diesel,Manual,First,19.01,1461.0,108.5,5.0,6.25
BMW 3 Series 320d Luxury Plus,BMW,Ahmedabad,2015,5,100000.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,24.75
Maruti Swift Dzire VXI,Maruti,Mumbai,2015,5,19000.0,Petrol,Manual,First,20.85,1197.0,83.14,5.0,5.25
Skoda Yeti Elegance 4X2,Skoda,Jaipur,2016,4,84000.0,Diesel,Manual,First,17.72,1968.0,108.5,5.0,11.0
Ford EcoSport 1.5 Ti VCT AT Titanium,Ford,Kochi,2018,2,37630.0,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,9.1
Hyundai i20 1.2 Magna,Hyundai,Chennai,2010,10,67714.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.25
Maruti S Cross DDiS 200 Sigma Option,Maruti,Pune,2017,3,32000.0,Diesel,Manual,First,15.0,1248.0,88.5,5.0,8.5
Hyundai Verna Transform VTVT,Hyundai,Pune,2010,10,51000.0,Petrol,Manual,First,16.2,1599.0,103.2,5.0,3.1
BMW 3 Series 320d Luxury Line,BMW,Kochi,2015,5,58390.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.86
Hyundai Grand i10 1.2 CRDi Magna,Hyundai,Kolkata,2017,3,14000.0,Diesel,Manual,First,24.0,1186.0,73.97,5.0,4.9
Honda City i-VTEC V,Honda,Delhi,2014,6,55818.0,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,5.7
Maruti Swift 1.3 VXi,Maruti,Chennai,2006,14,97800.0,Petrol,Manual,Third,16.1,,,,1.75
Maruti Swift VDI BSIV,Maruti,Kolkata,2012,8,52241.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,2.9
Maruti Baleno Zeta 1.3,Maruti,Coimbatore,2018,2,25433.0,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7.83
Tata Safari Storme 2012-2015 LX,Tata,Kochi,2015,5,40611.0,Diesel,Manual,First,14.0,2179.0,138.1,7.0,8.15
Hyundai Accent GLS,Hyundai,Bangalore,2008,12,72000.0,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2.0
Maruti Swift LDI SP Limited Edition,Maruti,Hyderabad,2016,4,54631.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.25
Maruti Swift VDI BSIV,Maruti,Bangalore,2007,13,60000.0,Diesel,Manual,Second,17.8,1248.0,,5.0,3.4
Tata Nano XTA,Tata,Coimbatore,2016,4,24941.0,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.19
Maruti Ertiga VDI,Maruti,Ahmedabad,2017,3,63939.0,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.75
Maruti Celerio VXI AMT,Maruti,Delhi,2014,6,35214.0,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3.2
Maruti Swift VDI BSIV,Maruti,Delhi,2015,5,63000.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.9
Volkswagen Vento Petrol Highline,Volkswagen,Kochi,2012,8,121377.0,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.8
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,Chennai,2009,11,100970.0,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,4.0
Mini Cooper 5 DOOR D,Mini,Hyderabad,2014,6,60000.0,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,23.5
Tata Indica V2 DLS,Tata,Chennai,2008,12,77650.0,Diesel,Manual,First,17.2,1396.0,53.5,5.0,1.15
Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,13,71297.0,Petrol,Manual,First,17.0,1086.0,,5.0,2.2
Land Rover Range Rover 3.0 D,Land,Mumbai,2008,12,55001.0,Diesel,Automatic,Second,,,,,26.5
Honda City i-VTEC CVT VX,Honda,Bangalore,2015,5,18955.0,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,10.65
Jaguar XF 2.2 Litre Luxury,Jaguar,Coimbatore,2016,4,47877.0,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,35.68
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Mercedes-Benz,Kochi,2017,3,43368.0,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,31.94
Chevrolet Cruze LTZ,Chevrolet,Chennai,2011,9,73000.0,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,4.2
Mahindra XUV500 W8 2WD,Mahindra,Ahmedabad,2015,5,72007.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.9
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedes-Benz,Kochi,2014,6,56778.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,15.46
Honda Jazz VX,Honda,Kochi,2018,2,20024.0,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.46
Toyota Etios G,Toyota,Kolkata,2013,7,42103.0,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3.25
Maruti Alto LXi BSIII,Maruti,Hyderabad,2012,8,67147.0,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.6
Maruti Swift VXI BSIV,Maruti,Coimbatore,2016,4,37806.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.2
Maruti A-Star Vxi,Maruti,Pune,2009,11,85000.0,Petrol,Manual,Third,19.0,998.0,66.1,5.0,1.8
Tata Nano Lx BSIV,Tata,Chennai,2011,9,35000.0,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.6
Ford Figo Titanium Diesel,Ford,Kolkata,2015,5,72035.0,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2.5
Fiat Linea Emotion,Fiat,Jaipur,2011,9,48500.0,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2.5
Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,Coimbatore,2017,3,28854.0,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.7
Maruti Baleno LXI,Maruti,Hyderabad,2005,15,92450.0,Petrol,Manual,First,15.4,1590.0,94.0,5.0,1.2
BMW 3 Series 320d Luxury Line,BMW,Coimbatore,2016,4,14351.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,35.55
Chevrolet Cruze LTZ,Chevrolet,Jaipur,2017,3,51087.0,Diesel,Manual,First,17.9,1998.0,163.7,5.0,7.75
Mahindra Scorpio 2.6 DX,Mahindra,Chennai,2005,15,50000.0,Diesel,Manual,First,12.7,2609.0,116.6,8.0,1.94
Tata Indica V2 eLS,Tata,Hyderabad,2016,4,73000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.2
